Gemaakt op,Type locatie,Status,Feedback gevraagd,Kanaal,Locatie,Nummer,Type sluikstort,dichtstbijzijnde_adres,longitude,latitude,geo_punt
2023-03-01T06:39:51+01:00,Openbare weg,Afgerond - Uitgevoerd,0,Meldingsapp (sluikstortmeldingen),"{""Dichtstbijzijnde adres"": ""Krommenelleboog 77B, 9000 Gent"", ""Longitude"": 3.7142136, ""Latitude"": 51.0497403}",MLD2311052,Zakken,"Krommenelleboog 77B, 9000 Gent",3.7142136,51.0497403,"51.0497403, 3.7142136"
2023-03-01T08:13:56+01:00,Openbare weg,Afgerond - Uitgevoerd,1,Meldingsapp (sluikstortmeldingen),"{""Locatie beschrijving"": ""heilige-kerstkerk"", ""Dichtstbijzijnde adres"": ""Sleepstraat 241, 9000 Gent"", ""Longitude"": 3.7290078, ""Latitude"": 51.0638867}",MLD2311066,Andere,"Sleepstraat 241, 9000 Gent",3.7290078,51.0638867,"51.0638867, 3.7290078"
2023-03-01T08:27:29+01:00,Openbare weg,Afgerond - Uitgevoerd,0,Meldingsapp (sluikstortmeldingen),"{""Dichtstbijzijnde adres"": ""Denderlaan 51, 9000 Gent"", ""Longitude"": 3.7456045, ""Latitude"": 51.0482345}",MLD2311068,Papier en karton,"Denderlaan 51, 9000 Gent",3.7456045,51.0482345,"51.0482345, 3.7456045"
2023-03-01T08:53:15+01:00,Openbare weg,Afgerond - Uitgevoerd,0,Meldingsapp (sluikstortmeldingen),"{""Dichtstbijzijnde adres"": ""Destelbergenstraat 14, 9040 Gent"", ""Longitude"": 3.7535649, ""Latitude"": 51.050137}",MLD2311078,Papier en karton,"Destelbergenstraat 14, 9040 Gent",3.7535649,51.050137,"51.050137, 3.7535649"
2023-03-01T08:56:17+01:00,Openbare weg,Afgerond - Uitgevoerd,0,Meldingsapp (sluikstortmeldingen),"{""Dichtstbijzijnde adres"": ""Geuzenberg 51, 9000 Gent"", ""Longitude"": 3.7244476341, ""Latitude"": 51.0656120939}",MLD2311081,Zakken,"Geuzenberg 51, 9000 Gent",3.7244476341,51.0656120939,"51.0656120939, 3.7244476341"
2023-03-01T09:27:37+01:00,Openbare weg,Afgerond - Uitgevoerd,1,Webformulier (sluikstortmeldingen),"{""Locatie beschrijving"": ""6 autobanden"", ""Dichtstbijzijnde adres"": ""Petrus Jozef Triesthof 3, 9050 Gent"", ""Longitude"": 3.7726848184, ""Latitude"": 51.0300478178}",MLD2311101,Andere,"Petrus Jozef Triesthof 3, 9050 Gent",3.7726848184,51.0300478178,"51.0300478178, 3.7726848184"
2023-03-01T09:50:28+01:00,Openbare weg,Afgerond - Uitgevoerd,0,Meldingsapp (sluikstortmeldingen),"{""Dichtstbijzijnde adres"": ""Engelstraat 33, 9040 Gent"", ""Longitude"": 3.7511053, ""Latitude"": 51.0558593}",MLD2311109,Zakken,"Engelstraat 33, 9040 Gent",3.7511053,51.0558593,"51.0558593, 3.7511053"
2023-03-01T10:00:50+01:00,Openbare weg,Afgerond - Uitgevoerd,0,DROSO,"{""Locatie beschrijving"": ""Achter frituur Tolpoort aan ingang weide"", ""Dichtstbijzijnde adres"": ""Lambert Queteletstraat 43, 9000 Gent"", ""Longitude"": 3.7266797264, ""Latitude"": 51.0667593793}",MLD2311120,,"Lambert Queteletstraat 43, 9000 Gent",3.7266797264,51.0667593793,"51.0667593793, 3.7266797264"
2023-03-01T10:02:08+01:00,Openbare weg,Afgerond - Uitgevoerd,0,DROSO,"{""Locatie beschrijving"": ""Hoek erasmusstraat"", ""Dichtstbijzijnde adres"": ""Desiderius Erasmusstraat 21, 9000 Gent"", ""Longitude"": 3.7261482525, ""Latitude"": 51.0662112884}",MLD2311130,,"Desiderius Erasmusstraat 21, 9000 Gent",3.7261482525,51.0662112884,"51.0662112884, 3.7261482525"
2023-03-01T10:02:18+01:00,Openbare weg,Afgerond - In behandeling,0,DROSO,"{""Locatie beschrijving"": ""Kartuizerlaan 135"", ""Dichtstbijzijnde adres"": ""Kartuizerlaan 133, 9000 Gent"", ""Longitude"": 3.7273701136, ""Latitude"": 51.0631427196}",MLD2311131,,"Kartuizerlaan 133, 9000 Gent",3.7273701136,51.0631427196,"51.0631427196, 3.7273701136"
2023-03-01T10:10:59+01:00,Openbare weg,Afgerond - Uitgevoerd,0,Meldingsapp (sluikstortmeldingen),"{""Dichtstbijzijnde adres"": ""Heilig-Hartstraat 42, 9040 Gent"", ""Longitude"": 3.7465102, ""Latitude"": 51.0535998}",MLD2311139,Zakken,"Heilig-Hartstraat 42, 9040 Gent",3.7465102,51.0535998,"51.0535998, 3.7465102"
2023-03-01T10:18:28+01:00,Openbare weg,Afgerond - Uitgevoerd,0,Meldingsapp (sluikstortmeldingen),"{""Dichtstbijzijnde adres"": ""Heilig-Hartstraat 42, 9040 Gent"", ""Longitude"": 3.7465324, ""Latitude"": 51.0535626}",MLD2311143,Zakken,"Heilig-Hartstraat 42, 9040 Gent",3.7465324,51.0535626,"51.0535626, 3.7465324"
2023-03-01T10:24:28+01:00,Openbare weg,Afgerond - Uitgevoerd,0,Meldingsapp (sluikstortmeldingen),"{""Dichtstbijzijnde adres"": ""Evarist De Buckstraat 37, 9040 Gent"", ""Longitude"": 3.7460364, ""Latitude"": 51.0537009}",MLD2311145,Zakken,"Evarist De Buckstraat 37, 9040 Gent",3.7460364,51.0537009,"51.0537009, 3.7460364"
2023-03-01T10:25:41+01:00,Openbare weg,Afgerond - Uitgevoerd,0,Meldingsapp (sluikstortmeldingen),"{""Dichtstbijzijnde adres"": ""Dendermondsesteenweg 186, 9000 Gent"", ""Longitude"": 3.7453824, ""Latitude"": 51.0532468}",MLD2311147,Zakken,"Dendermondsesteenweg 186, 9000 Gent",3.7453824,51.0532468,"51.0532468, 3.7453824"
2023-03-01T10:35:51+01:00,Openbare weg,Afgerond - Uitgevoerd,0,Meldingsapp (sluikstortmeldingen),"{""Dichtstbijzijnde adres"": ""Dendermondsesteenweg 139, 9000 Gent"", ""Longitude"": 3.7435431, ""Latitude"": 51.0539159}",MLD2311152,Zakken,"Dendermondsesteenweg 139, 9000 Gent",3.7435431,51.0539159,"51.0539159, 3.7435431"
2023-03-01T10:38:17+01:00,Openbare weg,Afgerond - Uitgevoerd,0,Meldingsapp (sluikstortmeldingen),"{""Dichtstbijzijnde adres"": ""Dendermondsesteenweg 173, 9000 Gent"", ""Longitude"": 3.7447795, ""Latitude"": 51.0533669}",MLD2311154,Zakken,"Dendermondsesteenweg 173, 9000 Gent",3.7447795,51.0533669,"51.0533669, 3.7447795"
2023-03-01T10:46:30+01:00,Openbare weg,Afgerond - Uitgevoerd,0,Meldingsapp (sluikstortmeldingen),"{""Dichtstbijzijnde adres"": ""Dendermondsesteenweg 111, 9000 Gent"", ""Longitude"": 3.7431065, ""Latitude"": 51.0548927}",MLD2311158,Zakken,"Dendermondsesteenweg 111, 9000 Gent",3.7431065,51.0548927,"51.0548927, 3.7431065"
2023-03-01T10:48:55+01:00,Openbare weg,Afgerond - Uitgevoerd,0,Meldingsapp (sluikstortmeldingen),"{""Dichtstbijzijnde adres"": ""Dendermondsesteenweg 74, 9000 Gent"", ""Longitude"": 3.7427515, ""Latitude"": 51.0552103}",MLD2311159,Zakken,"Dendermondsesteenweg 74, 9000 Gent",3.7427515,51.0552103,"51.0552103, 3.7427515"
2023-03-01T10:54:40+01:00,Openbare weg,Afgerond - Uitgevoerd,0,Meldingsapp (sluikstortmeldingen),"{""Dichtstbijzijnde adres"": ""Wespstraat 9, 9000 Gent"", ""Longitude"": 3.7448873, ""Latitude"": 51.0562912}",MLD2311162,Zakken,"Wespstraat 9, 9000 Gent",3.7448873,51.0562912,"51.0562912, 3.7448873"
